y,Ux,Ux_RESID,,y,Ux,Ux_RESID,,y,Ux,Ux_RESID
-68.559786,0.035956,0.003873,,-63.886055,0.038237,0.00499,,-62.640254,0.041132,0.007844
-71.892883,0.035145,0.003061,,-64.272681,0.038155,0.004908,,-65.260187,0.040047,0.006758
-71.892883,0.035145,0.003061,,-64.272681,0.038155,0.004908,,-65.260187,0.040047,0.006758
-71.920191,0.035139,0.003056,,-67.23229,0.037489,0.004241,,-67.944253,0.03883,0.005541
-71.920191,0.035139,0.003056,,-67.23229,0.037489,0.004241,,-67.944253,0.03883,0.005541
-71.947388,0.035134,0.003051,,-69.891589,0.036955,0.003707,,-68.602867,0.038442,0.005153
-71.947388,0.035134,0.003051,,-69.891589,0.036955,0.003707,,-68.602867,0.038442,0.005153
-75.280419,0.034627,0.002544,,-70.739332,0.036796,0.003549,,-69.254016,0.038116,0.004828
-75.280419,0.034627,0.002544,,-70.739332,0.036796,0.003549,,-69.254016,0.038116,0.004828
-78.626144,0.033702,0.001619,,-71.767095,0.036545,0.003298,,-71.949097,0.036708,0.00342
-78.626144,0.033702,0.001619,,-71.767095,0.036545,0.003298,,-71.949097,0.036708,0.00342
-78.640321,0.033696,0.001613,,-74.373703,0.035777,0.00253,,-74.65248,0.035514,0.002225
-78.640321,0.033696,0.001613,,-74.373703,0.035777,0.00253,,-74.65248,0.035514,0.002225
-78.654445,0.033691,0.001608,,-77.214767,0.034826,0.001578,,-75.298644,0.035266,0.001978
-78.654445,0.033691,0.001608,,-77.214767,0.034826,0.001578,,-75.298644,0.035266,0.001978
-82,0.032514,0.00043,,-78.136368,0.03459,0.001343,,-75.945047,0.035009,0.001721
-82,0.032514,0.00043,,-78.136368,0.03459,0.001343,,-75.945047,0.035009,0.001721
-85.990671,0.03231,0.000227,,-78.89493,0.034383,0.001136,,-78.649007,0.033943,0.000655
-85.990671,0.03231,0.000227,,-78.89493,0.034383,0.001136,,-78.649007,0.033943,0.000655
-85.999995,0.03231,0.000226,,-82,0.033659,0.000411,,-81.342855,0.033211,-0.000078
-85.999995,0.03231,0.000226,,-82,0.033659,0.000411,,-81.342855,0.033211,-0.000078
-86.009319,0.032309,0.000226,,-85.574224,0.033483,0.000236,,-82,0.033013,-0.000276
-86.009319,0.032309,0.000226,,-85.574224,0.033483,0.000236,,-82,0.033013,-0.000276
-90,0.032083,0,,-86.000041,0.03346,0.000213,,-82.785085,0.033052,-0.000237
,,,,-86.000041,0.03346,0.000213,,-82.785085,0.033052,-0.000237
,,,,-86.425844,0.033437,0.00019,,-86.000031,0.033164,-0.000125
,,,,-86.425844,0.033437,0.00019,,-86.000031,0.033164,-0.000125
,,,,-90,0.033247,0,,-89.214922,0.033262,-0.000026
,,,,,,,,-89.214922,0.033262,-0.000026
,,,,,,,,-90,0.033289,0
